metric,component,formula,numerator,denominator,value,numerator_sample_ids,denominator_sample_ids
confusion_matrix,READY_TO_CONFIRM->NEED_USER_INPUT,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,READY_TO_CONFIRM->CONTRADICTION_BLOCKED,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,READY_TO_CONFIRM->RECAPTURE_REQUIRED,count(samples with actual state and predicted state),3,46,3,GF-EVAL-011;GF-EVAL-013;GF-EVAL-015,
confusion_matrix,NEED_USER_INPUT->READY_TO_CONFIRM,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,NEED_USER_INPUT->NEED_USER_INPUT,count(samples with actual state and predicted state),7,46,7,GF-EVAL-023;GF-EVAL-024;GF-EVAL-025;GF-EVAL-026;GF-EVAL-027;GF-EVAL-028;GF-EVAL-029,
confusion_matrix,NEED_USER_INPUT->CONTRADICTION_BLOCKED,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,NEED_USER_INPUT->RECAPTURE_REQUIRED,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,CONTRADICTION_BLOCKED->READY_TO_CONFIRM,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,CONTRADICTION_BLOCKED->NEED_USER_INPUT,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,CONTRADICTION_BLOCKED->CONTRADICTION_BLOCKED,count(samples with actual state and predicted state),13,46,13,GF-EVAL-019;GF-EVAL-020;GF-EVAL-021;GF-EVAL-022;GF-EVAL-030;GF-EVAL-031;GF-EVAL-032;GF-EVAL-033;GF-EVAL-034;GF-EVAL-035;GF-EVAL-036;GF-EVAL-041;GF-EVAL-042,
confusion_matrix,CONTRADICTION_BLOCKED->RECAPTURE_REQUIRED,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,RECAPTURE_REQUIRED->READY_TO_CONFIRM,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,RECAPTURE_REQUIRED->NEED_USER_INPUT,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,RECAPTURE_REQUIRED->CONTRADICTION_BLOCKED,count(samples with actual state and predicted state),0,46,0,,
confusion_matrix,RECAPTURE_REQUIRED->RECAPTURE_REQUIRED,count(samples with actual state and predicted state),4,46,4,GF-EVAL-037;GF-EVAL-038;GF-EVAL-039;GF-EVAL-040,
